brand;model;year;mileage_km;engine_volume;engine_hp;n_owners;transmission;body_type;color;price_rub
BMW;X5_M;2017;122108.0;3.4;224.4;3.0;Manual;SUV;white;5622418
BMW;X5;2017;124310.0;2.6;171.6;4.0;Automatic;SUV;black;4004869
BMW;3 Series;2021;198122.0;;154.1;2.0;Manual;Sedan;green;3588027
BMW;X3;2013;53183.0;2.6;171.6;4.0;Automatic;SUV;blue;3288208
BMW;X7;2021;186853.0;3.1;204.6;3.0;Manual;SUV;black;4949953
BMW;X5;2012;35770.0;2.7;180.9;4.0;Automatic;SUV;blue;3137357
BMW;7 Series_M;2022;220430.0;3.3;217.8;3.0;Automatic;Sedan;red;5622087
BMW;5 Series;2014;72921.0;2.5;167.5;4.0;Automatic;Sedan;white;2846334
BMW;X7;2016;102372.0;1.8;113.4;4.0;Manual;SUV;green;3494538
BMW;X5;2012;36476.0;3.2;201.6;4.0;Automatic;SUV;red;3229491
BMW;5 Series;2010;5000.0;2.3;151.8;4.0;Automatic;Sedan;green;2289651
BMW;3 Series;2012;36361.0;2.2;143.0;4.0;Automatic;Sedan;green;2544196
BMW;X3_M;2019;155786.0;3.2;201.6;4.0;Automatic;SUV;black;6070408
BMW;X3;2016;112433.0;2.2;147.4;4.0;Automatic;SUV;green;3648404
BMW;7 Series_M;2021;203034.0;3.4;221.0;3.0;Manual;Sedan;green;5358599
BMW;X3;2021;201982.0;2.4;153.6;2.0;Manual;SUV;red;4567553
BMW;X7;2012;36005.0;2.4;158.4;4.0;Automatic;SUV;green;3047454
BMW;X7_M;2017;125435.0;;217.6;4.0;Automatic;SUV;red;5522034
BMW;3 Series_M;2021;197897.0;3.0;192.0;2.0;Manual;Sedan;green;5324294
BMW;5 Series;2011;17779.0;2.5;157.5;4.0;Automatic;Sedan;blue;2456427
BMW;X7_M;2019;167142.0;3.5;234.5;3.0;Manual;SUV;white;6110237
BMW;5 Series;2015;93045.0;2.3;151.8;4.0;Automatic;Sedan;green;2866657
